,日期,净值,沪深300收益
0,20141229,1.0,1.0
1,20141230,0.9981,1.0006074453291969
2,20141231,1.01556675,1.0226453535062676
3,20150101,1.01556675,1.0226453535062676
4,20150102,1.01556675,1.0226453535062676
5,20150105,1.040854362075,1.0538528211190712
6,20150106,1.0449136940870924,1.0537133315294225
7,20150107,1.0470035214752667,1.0545036760716027
8,20150108,1.0257493499893187,1.0300406169375669
9,20150109,1.0249287505093272,1.0264127300167416
10,20150112,1.019394135256577,1.01682007145224
11,20150113,1.024796924173437,1.0169543518870887
12,20150114,1.0285886727928786,1.0135924212585607
13,20150115,1.0580063088347549,1.0430235670845085
14,20150116,1.068268970030452,1.0520021241775686
15,20150119,1.004386485622631,0.9709734318635318
16,20150120,1.0186487737184724,0.9828581185401055
17,20150121,1.0580704812613773,1.0270384073877392
18,20150122,1.0642072900526933,1.0324582435598206
19,20150123,1.0634623449496563,1.0336502718165914
20,20150126,1.0713319663022838,1.0441417989816102
21,20150127,1.0658681732741422,1.0345760543835762
22,20150128,1.056808293801312,1.0202196237543246
23,20150129,1.0422243393468538,1.0076235980500396
24,20150130,1.036179438178642,0.9939038418963638
25,20150202,1.0240561387519518,0.9706276018642986
26,20150203,1.047302213101621,0.9947879512249473
27,20150204,1.037562302519776,0.9844631170135337
28,20150205,1.0318557098559173,0.9743857176551279
29,20150206,1.0115281523717556,0.9586060301754762
30,20150209,1.0193169191450182,0.9683011354510477
31,20150210,1.0360337166189966,0.9859607490185809
32,20150211,1.0415246953170774,0.9938268621643169
33,20150212,1.0465240138545993,0.9963590901921744
34,20150213,1.0555241203737487,1.0041595101079308
35,20150216,1.0621739223321032,1.0127415926412007
36,20150217,1.072158357202025,1.019351141890142
37,20150218,1.072158357202025,1.019351141890142
38,20150219,1.072158357202025,1.019351141890142
39,20150220,1.072158357202025,1.019351141890142
40,20150223,1.072158357202025,1.019351141890142
41,20150224,1.072158357202025,1.019351141890142
42,20150225,1.0625089319872068,1.0067354371566117
43,20150226,1.0880091463548998,1.032076817669453
44,20150227,1.0906203683061515,1.033971792426757
45,20150302,1.1044712469836395,1.0421970478562157
46,20150303,1.0796206439265077,1.0151774513052552
47,20150304,1.0911725848165212,1.0218110205457749
48,20150305,1.0833161422058424,1.01183317392355
49,20150306,1.0788745460227984,1.006674953081432
50,20150309,1.0990495000334246,1.02381596634886
51,20150310,1.0969613059833612,1.0188559827866372
52,20150311,1.1018976318602862,1.020025727436763
53,20150312,1.1227234971024456,1.0397600316022058
54,20150313,1.1319298297786855,1.0469408514942316
55,20150316,1.161699584301865,1.0724118820820991
56,20150317,1.1781957183989513,1.0873016722833895
57,20150318,1.2063545960686863,1.1130386591635544
58,20150319,1.202856167740087,1.1112108246236747
59,20150320,1.2204178677890922,1.1265011409496
60,20150323,1.2465348101597788,1.1495044791496345
61,20150324,1.2487785728180665,1.149789535676199
62,20150325,1.236915176376295,1.140345338023502
63,20150326,1.2385231661055842,1.143119791749567
64,20150327,1.2432295541367855,1.1493991384636757
65,20150330,1.2790345652959247,1.1831084473680022
66,20150331,1.2696976129692645,1.1724082646134881
67,20150401,1.2938218676156805,1.1934448574789718
68,20150402,1.3006791235140438,1.1936998166666908
69,20150403,1.3212298536655658,1.2069432245536404
70,20150406,1.3212298536655658,1.2069432245536404
71,20150407,1.353335739109639,1.2328460361949438
72,20150408,1.3592904163617214,1.243194601000447
73,20150409,1.3444741508233786,1.2334520345366964
74,20150410,1.3763381881978927,1.257263081128245
75,20150413,1.4005617403101756,1.2794474244346983
76,20150414,1.4007017964842066,1.2843993048672318
77,20150415,1.3746487430696004,1.2677094622849958
78,20150416,1.4068155236574291,1.306208878425562
79,20150417,1.4239786730460497,1.330110217033647
80,20150420,1.3836800765988466,1.3086320036001047
81,20150421,1.426159054950431,1.3367744624079896
82,20150422,1.475076310535231,1.3716902694435322
83,20150423,1.4752238181662845,1.3720022399365641
84,20150424,1.4553082966210398,1.360932496588727
85,20150427,1.4844144625534605,1.39130505244606
86,20150428,1.4652655159865209,1.3722826661033063
87,20150429,1.4762550073564198,1.3816779555803795
88,20150430,1.4657735968041892,1.3746050809517127
89,20150501,1.4657735968041892,1.3746050809517127
90,20150504,1.4795518686141487,1.3855602228939459
91,20150505,1.4160790934506016,1.3303130846733644
92,20150506,1.4024847341534756,1.3177213999314128
93,20150507,1.3876183959714488,1.293632531750522
94,20150508,1.423418950587512,1.3191907578017947
95,20150511,1.4705341178519586,1.3574282113354104
96,20150512,1.4952390910318714,1.3738918029608258
97,20150513,1.4986781409412446,1.3655034720463732
98,20150514,1.4998770834539974,1.3603932622476633
99,20150515,1.4803786813690953,1.3362842230617966
100,20150518,1.4836355144681073,1.3240340562964934
101,20150519,1.5394202098121081,1.369203650459925
102,20150520,1.5645127592320456,1.376061618513336
103,20150521,1.6058158960757716,1.4009662982154303
104,20150522,1.651260485934716,1.432903828873477
105,20150525,1.6951840148605792,1.475780931888854
106,20150526,1.7280705847488746,1.5045537852468056
107,20150527,1.7380933941404182,1.4994938727316665
108,20150528,1.6178173312659012,1.3989494292358027
109,20150529,1.628171362186003,1.4009238146640601
110,20150601,1.7123478216110195,1.4690334557967042
111,20150602,1.7519030562902338,1.4938321002588661
112,20150603,1.7555820527084434,1.4885420299208065
113,20150604,1.7799846432410908,1.4994888372153594
114,20150605,1.815940333034561,1.5137086432901021
115,20150608,1.8655155041264047,1.5493620955850966
116,20150609,1.852829998698345,1.5388598607129886
117,20150610,1.8607971676927477,1.5364436810781794
118,20150611,1.8632162040107485,1.5357138206111787
